Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,Prefix/Suffix,TinyURL,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
mic.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
nguyentandung.org,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
serverfault.com,0,0,1,3,0,0,0,1,0,1,0,1,0,0,1,0,0
olx.ua,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,1,0
codecanyon.net,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
mashable.com,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,0
olx.ua,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
bdnews24.com,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0,0
tobogo.net,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
icicibank.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,1,0
